Gender, Age, Job, Zodiac, AvgPostLength, AvgWordLength, AvgPostFrequency, NumURL, NumInternetWords, NumAdjectives, Num_the, Num_i, Num_and, Num_him, Num_of 
female, 27, RealEstate, Libra, 268.776000, 4.202777, 0.488000, 0.041781, 0.000000, 0.029522, 0.037653, 0.031649, 0.047536, 0.033650, 0.016262 
female, 24, indUnk, Aquarius, 1148.515152, 3.929397, 9.393939, 0.060650, 0.000207, 0.029444, 0.036908, 0.049920, 0.047483, 0.067907, 0.014359 
male, 16, Student, Pisces, 200.272727, 3.820862, 2.272727, 0.051041, 0.000000, 0.027255, 0.034440, 0.036422, 0.044599, 0.044599, 0.012636 
female, 25, indUnk, Scorpio, 1147.194286, 4.258240, 3.520000, 0.050694, 0.000106, 0.038816, 0.044436, 0.032558, 0.054915, 0.039791, 0.023056 
male, 23, indUnk, Cancer, 908.192308, 4.004541, 2.649573, 0.035878, 0.000188, 0.023045, 0.040739, 0.022725, 0.045620, 0.026720, 0.016469 
female, 17, indUnk, Libra, 418.108696, 3.892532, 12.500000, 0.059502, 0.003238, 0.017203, 0.016393, 0.043513, 0.034608, 0.058693, 0.024084 
female, 17, Student, Gemini, 494.921569, 4.120643, 0.382353, 0.044323, 0.000082, 0.027834, 0.044894, 0.027141, 0.065750, 0.031793, 0.016897 
female, 23, Education, Aries, 1501.725191, 3.964412, 4.656489, 0.049272, 0.000101, 0.024686, 0.039458, 0.036415, 0.061242, 0.038369, 0.016585 
female, 15, Student, Scorpio, 1612.000000, 4.009950, 0.500000, 0.053483, 0.000000, 0.043532, 0.034826, 0.037313, 0.065920, 0.039801, 0.011194 
female, 16, indUnk, Libra, 1195.793651, 3.724477, 3.888889, 0.072329, 0.002966, 0.018787, 0.032481, 0.060414, 0.057992, 0.081970, 0.009937 
male, 26, Education, Aries, 546.500000, 4.109023, 0.666667, 0.041771, 0.000000, 0.027151, 0.046366, 0.021721, 0.050125, 0.026316, 0.020886 
male, 17, indUnk, Aries, 1380.168675, 4.090192, 0.000000, 0.052130, 0.000179, 0.031528, 0.040418, 0.041311, 0.055807, 0.050737, 0.016317 
male, 17, Technology, Sagittarius, 992.813725, 4.049992, 1.507353, 0.045502, 0.003169, 0.028515, 0.041323, 0.031895, 0.051281, 0.039493, 0.016097 
male, 27, Technology, Pisces, 985.975124, 4.260857, 2.114428, 0.040613, 0.000064, 0.034443, 0.047579, 0.024488, 0.055083, 0.027369, 0.023994 
female, 24, Banking, Aquarius, 904.486486, 3.869125, 4.040541, 0.061160, 0.003757, 0.024337, 0.025204, 0.051275, 0.043182, 0.065380, 0.013353 
female, 15, Student, Libra, 918.394495, 4.128807, 1.949541, 0.044854, 0.000412, 0.030480, 0.040523, 0.031573, 0.045905, 0.037182, 0.013776 
female, 43, Publishing, Capricorn, 912.425000, 3.913258, 6.825000, 0.060419, 0.000161, 0.020050, 0.049751, 0.046373, 0.049107, 0.054361, 0.014850 
male, 24, Student, Capricorn, 3381.577778, 4.045272, 13.577778, 0.042082, 0.000611, 0.027674, 0.037589, 0.027727, 0.053805, 0.036101, 0.017838 
female, 16, indUnk, Gemini, 2446.900000, 4.089071, 16.600000, 0.038436, 0.000167, 0.027574, 0.039773, 0.027908, 0.041110, 0.029412, 0.016878 
male, 17, indUnk, Taurus, 1719.176471, 4.072742, 11.000000, 0.053024, 0.000139, 0.032678, 0.037207, 0.042294, 0.046474, 0.053094, 0.023202 
male, 15, Student, Sagittarius, 282.640351, 4.175868, 1.438596, 0.058839, 0.000000, 0.036418, 0.034344, 0.031363, 0.040565, 0.035511, 0.016071 
male, 23, Government, Pisces, 1612.032258, 4.318441, 19.870968, 0.043381, 0.000000, 0.034134, 0.049516, 0.024715, 0.050985, 0.031369, 0.029122 
male, 26, indUnk, Virgo, 2148.734375, 4.304464, 0.000000, 0.032083, 0.000125, 0.032271, 0.066358, 0.012051, 0.048673, 0.016777, 0.019375 
female, 26, Biotech, Leo, 1867.285714, 4.348303, 3.000000, 0.047239, 0.000333, 0.051564, 0.044578, 0.028277, 0.056554, 0.036593, 0.018962 
female, 23, Student, Leo, 880.520930, 4.022694, 0.000000, 0.051083, 0.000149, 0.026795, 0.043582, 0.035337, 0.052039, 0.040607, 0.016192 
female, 25, Arts, Aquarius, 1052.608696, 4.007084, 2.647826, 0.052468, 0.000480, 0.027889, 0.038201, 0.040220, 0.049191, 0.046774, 0.016568 
male, 27, Non-Profit, Capricorn, 741.739130, 4.318987, 0.000000, 0.043671, 0.000127, 0.033544, 0.049747, 0.025063, 0.051646, 0.025949, 0.022658 
male, 23, Student, Libra, 752.495146, 3.802345, 5.339806, 0.057398, 0.000147, 0.022076, 0.033507, 0.045379, 0.062598, 0.054160, 0.016140 
female, 25, Arts, Virgo, 1364.467877, 4.119096, 0.621508, 0.050228, 0.000089, 0.028721, 0.045430, 0.035273, 0.051442, 0.044216, 0.022173 
male, 16, indUnk, Aries, 925.468013, 4.287983, 0.000000, 0.041107, 0.000265, 0.037893, 0.040155, 0.024976, 0.057550, 0.028564, 0.022777 
female, 24, Student, Pisces, 413.227273, 3.735004, 3.515152, 0.080457, 0.000411, 0.013010, 0.028759, 0.064503, 0.044988, 0.065462, 0.012668 
female, 17, Student, Libra, 1527.333333, 4.498773, 52.833333, 0.030928, 0.000000, 0.035346, 0.054492, 0.014728, 0.047619, 0.018655, 0.019146 
male, 23, Student, Aries, 1190.162791, 4.287617, 1.860465, 0.044571, 0.000000, 0.036277, 0.052279, 0.025134, 0.049179, 0.027061, 0.023207 
female, 24, indUnk, Scorpio, 653.672269, 4.099015, 3.781513, 0.048954, 0.000079, 0.037282, 0.040101, 0.034726, 0.050271, 0.042341, 0.018786 
female, 16, Student, Cancer, 549.875000, 3.955935, 3.250000, 0.051259, 0.000000, 0.027878, 0.022482, 0.034173, 0.034173, 0.037770, 0.007194 
female, 17, indUnk, Aquarius, 175.159892, 3.816818, 0.000000, 0.054663, 0.000768, 0.020905, 0.030845, 0.043443, 0.044605, 0.053305, 0.013070 
female, 26, indUnk, Leo, 4134.750000, 4.662814, 0.250000, 0.022836, 0.001128, 0.019171, 0.071328, 0.009867, 0.030448, 0.012969, 0.026501 
female, 26, Student, Scorpio, 371.684018, 4.038120, 0.000000, 0.049669, 0.001191, 0.025053, 0.040878, 0.032077, 0.043666, 0.038397, 0.016302 
female, 33, Telecommunications, Pisces, 1090.144928, 4.100188, 1.112319, 0.050803, 0.000068, 0.025429, 0.042667, 0.029844, 0.046292, 0.037611, 0.017034 
female, 26, indUnk, Leo, 1107.818182, 4.197726, 0.000000, 0.022046, 0.000000, 0.028247, 0.030658, 0.014123, 0.035136, 0.018601, 0.010334 
female, 24, indUnk, Sagittarius, 917.756757, 3.894151, 0.000000, 0.053670, 0.000000, 0.027580, 0.042718, 0.040023, 0.046560, 0.044610, 0.017259 
male, 27, Arts, Leo, 831.000000, 4.131525, 23.545455, 0.041582, 0.000000, 0.023955, 0.050847, 0.024407, 0.059661, 0.026441, 0.020339 
female, 23, indUnk, Aries, 1079.000000, 4.327540, 5.000000, 0.045455, 0.000000, 0.032086, 0.053476, 0.032086, 0.060160, 0.040107, 0.017380 
female, 27, Student, Sagittarius, 580.944444, 4.001914, 2.277778, 0.049369, 0.000383, 0.029851, 0.041715, 0.038270, 0.043628, 0.045542, 0.017604 
female, 25, indUnk, Aries, 3000.333333, 3.840017, 0.666667, 0.055034, 0.000427, 0.020478, 0.081485, 0.040102, 0.066126, 0.048635, 0.010666 
female, 16, Student, Libra, 432.392857, 3.711689, 1.622449, 0.061884, 0.012570, 0.017300, 0.026891, 0.045198, 0.054045, 0.057504, 0.011256 
female, 23, indUnk, Virgo, 592.416667, 4.372079, 30.333333, 0.044280, 0.000615, 0.027060, 0.069496, 0.021525, 0.052891, 0.025215, 0.038130 
male, 23, Technology, Taurus, 387.268657, 4.475936, 8.925373, 0.042781, 0.000000, 0.037606, 0.052613, 0.009833, 0.052958, 0.012765, 0.022080 
male, 25, indUnk, Leo, 359.414229, 4.053556, 0.000000, 0.060501, 0.000080, 0.025615, 0.045487, 0.031775, 0.046798, 0.039452, 0.016431 
male, 26, Non-Profit, Aries, 1058.917526, 4.505439, 0.000000, 0.033599, 0.000132, 0.037152, 0.056233, 0.010089, 0.051715, 0.013203, 0.025309 
male, 25, Internet, Leo, 422.422414, 4.188836, 0.000000, 0.055736, 0.000427, 0.032399, 0.039665, 0.022653, 0.053257, 0.027612, 0.019576 
male, 24, Government, Aquarius, 260.600000, 4.027821, 10.500000, 0.041731, 0.000773, 0.030912, 0.038640, 0.028594, 0.037867, 0.030139, 0.015456 
male, 25, indUnk, Leo, 532.111111, 3.854489, 1.736842, 0.055514, 0.000445, 0.020778, 0.036304, 0.042742, 0.053714, 0.052147, 0.014488 
male, 24, Government, Aquarius, 74.220000, 3.800307, 0.530000, 0.075269, 0.001024, 0.014337, 0.045059, 0.026626, 0.027138, 0.030722, 0.008705 
female, 36, Technology, Scorpio, 608.380952, 3.547903, 7.000000, 0.082061, 0.000069, 0.017842, 0.040058, 0.074910, 0.039642, 0.086990, 0.009858 
female, 45, Education, Cancer, 1328.500000, 4.581034, 0.000000, 0.058621, 0.000000, 0.058621, 0.046552, 0.020690, 0.070690, 0.022414, 0.027586 
male, 23, Student, Aquarius, 606.857143, 4.096432, 38.071429, 0.041948, 0.000000, 0.025072, 0.046770, 0.023144, 0.048698, 0.027965, 0.016876 
male, 17, Student, Cancer, 750.098814, 4.044133, 0.000000, 0.050825, 0.001790, 0.026211, 0.038657, 0.037165, 0.044325, 0.043302, 0.016068 
female, 25, Arts, Gemini, 818.666667, 4.102907, 0.933333, 0.089876, 0.000000, 0.030404, 0.045773, 0.046776, 0.060809, 0.050117, 0.022051 
male, 40, Communications-Media, Pisces, 267.035714, 4.595171, 0.066327, 0.042230, 0.000263, 0.035206, 0.049868, 0.006321, 0.045566, 0.007550, 0.020018 
male, 24, Student, Scorpio, 357.838095, 4.027549, 0.000000, 0.038268, 0.000214, 0.030871, 0.041484, 0.023690, 0.051345, 0.032372, 0.022296 
male, 26, indUnk, Gemini, 220.181818, 3.833795, 12.431818, 0.072022, 0.000000, 0.021369, 0.056589, 0.049466, 0.047091, 0.050257, 0.011080 
female, 38, Arts, Aries, 247.173077, 4.160893, 11.307692, 0.066688, 0.000000, 0.032049, 0.044675, 0.030754, 0.052444, 0.034963, 0.023309 
male, 16, indUnk, Cancer, 306.145003, 4.222572, 0.274986, 0.044717, 0.000199, 0.031083, 0.038048, 0.021657, 0.053123, 0.024016, 0.018462 
female, 24, indUnk, Capricorn, 1591.605634, 3.830774, 1.992958, 0.054205, 0.000593, 0.021730, 0.032645, 0.043171, 0.049375, 0.053070, 0.013373 
female, 27, Student, Taurus, 371.871115, 4.038065, 0.000000, 0.049678, 0.001191, 0.025033, 0.040884, 0.032080, 0.043644, 0.038403, 0.016308 
male, 27, Technology, Libra, 309.294118, 4.334707, 0.764706, 0.029678, 0.000000, 0.037098, 0.065128, 0.003298, 0.037923, 0.004946, 0.031327 
female, 35, indUnk, Capricorn, 1053.362676, 3.888311, 2.066901, 0.063143, 0.000533, 0.024774, 0.033313, 0.052549, 0.054655, 0.066210, 0.015428 
female, 15, Student, Capricorn, 284.754967, 3.676614, 3.880795, 0.090723, 0.004874, 0.019581, 0.020351, 0.042411, 0.040017, 0.052672, 0.010261 
female, 26, Arts, Leo, 894.909091, 4.069450, 4.636364, 0.050021, 0.000000, 0.023563, 0.027284, 0.033898, 0.051674, 0.035965, 0.015709 
female, 24, Arts, Leo, 574.593750, 4.301556, 8.656250, 0.049012, 0.000234, 0.036846, 0.042227, 0.032284, 0.045268, 0.035092, 0.023395 
male, 25, Manufacturing, Taurus, 618.919786, 4.143563, 3.139037, 0.044071, 0.000465, 0.031970, 0.039417, 0.030968, 0.052878, 0.039238, 0.019619 
female, 23, indUnk, Virgo, 672.005848, 4.067429, 3.327485, 0.049943, 0.000319, 0.028529, 0.036741, 0.033838, 0.051819, 0.041307, 0.015610 
female, 25, indUnk, Leo, 768.388889, 4.153453, 2.916667, 0.041291, 0.000150, 0.032733, 0.041141, 0.027477, 0.049850, 0.032883, 0.020270 
male, 26, indUnk, Capricorn, 936.966667, 3.937019, 6.477778, 0.051123, 0.000327, 0.022690, 0.036650, 0.038891, 0.027686, 0.042065, 0.011485 
male, 27, Engineering, Aquarius, 966.315789, 4.543992, 2.000000, 0.035392, 0.000371, 0.040342, 0.065833, 0.010271, 0.051850, 0.014231, 0.037619 
female, 17, indUnk, Taurus, 1037.195980, 3.746021, 2.864322, 0.059348, 0.003702, 0.018675, 0.026806, 0.043558, 0.062687, 0.055319, 0.010200 
female, 26, indUnk, Libra, 491.721264, 4.130117, 1.678161, 0.058240, 0.000628, 0.025536, 0.037435, 0.032221, 0.039752, 0.039511, 0.015712 
female, 17, Student, Sagittarius, 424.500000, 3.432615, 0.333333, 0.101752, 0.000000, 0.017520, 0.030323, 0.065364, 0.024259, 0.088275, 0.010108 
female, 17, indUnk, Aquarius, 829.500000, 3.678492, 2.250000, 0.054324, 0.003326, 0.029933, 0.019956, 0.047672, 0.049889, 0.067627, 0.006652 
male, 24, Technology, Cancer, 429.833333, 4.106688, 5.000000, 0.038217, 0.000000, 0.031847, 0.039809, 0.017516, 0.035032, 0.017516, 0.015924 
male, 36, indUnk, Pisces, 595.242105, 3.984218, 5.852632, 0.041147, 0.000070, 0.027760, 0.054323, 0.025928, 0.059184, 0.034383, 0.017685 
female, 17, indUnk, Leo, 586.884615, 4.096596, 4.384615, 0.038338, 0.000591, 0.027277, 0.039465, 0.023948, 0.043653, 0.028082, 0.012027 
female, 16, indUnk, Gemini, 543.925170, 3.757554, 3.047619, 0.067296, 0.000846, 0.020725, 0.036609, 0.053151, 0.044316, 0.056958, 0.014709 
male, 16, Technology, Virgo, 335.510763, 3.865285, 0.381605, 0.053169, 0.002382, 0.025536, 0.031864, 0.040702, 0.045594, 0.047706, 0.012257 
male, 17, Technology, Taurus, 335.510763, 3.865285, 0.381605, 0.053169, 0.002382, 0.025536, 0.031864, 0.040702, 0.045594, 0.047706, 0.012257 
female, 23, Education, Leo, 592.708955, 3.913234, 4.268657, 0.072083, 0.000148, 0.028429, 0.028232, 0.061342, 0.037544, 0.062722, 0.015767 
male, 36, LawEnforcement-Security, Pisces, 464.862150, 4.109151, 3.123832, 0.055123, 0.000021, 0.030443, 0.045602, 0.035647, 0.049030, 0.043640, 0.020364 
female, 25, Communications-Media, Sagittarius, 450.947368, 4.441680, 0.000000, 0.056506, 0.000000, 0.036288, 0.045101, 0.024365, 0.056506, 0.025402, 0.025402 
female, 25, Marketing, Pisces, 474.777778, 3.986007, 62.777778, 0.047575, 0.001866, 0.029851, 0.027052, 0.031716, 0.055037, 0.042910, 0.018657 
male, 25, Engineering, Leo, 719.678571, 4.070087, 19.821429, 0.039588, 0.000202, 0.032115, 0.051303, 0.030903, 0.035952, 0.035144, 0.017168 
male, 15, indUnk, Capricorn, 415.362832, 3.964747, 1.705015, 0.055047, 0.000028, 0.023314, 0.035647, 0.037196, 0.046769, 0.044404, 0.013966 
female, 17, Student, Aries, 622.090909, 3.675081, 1.363636, 0.086466, 0.001074, 0.017186, 0.021482, 0.059613, 0.079484, 0.078410, 0.009130 
female, 16, Arts, Libra, 754.134146, 3.962007, 0.000000, 0.053498, 0.000833, 0.028511, 0.032163, 0.044144, 0.044208, 0.054716, 0.013967 
male, 15, Student, Sagittarius, 870.717391, 3.935253, 1.304348, 0.061210, 0.001572, 0.020927, 0.022008, 0.045589, 0.036648, 0.055315, 0.008941 
male, 16, Student, Gemini, 41.779570, 3.400875, 1.370968, 0.135230, 0.002188, 0.001313, 0.001751, 0.134792, 0.021444, 0.137856, 0.001751 
male, 34, Education, Pisces, 1458.411111, 4.428274, 1.770370, 0.042835, 0.000191, 0.039428, 0.051315, 0.021547, 0.052619, 0.027350, 0.027361 
female, 25, indUnk, Aries, 757.966292, 4.099356, 6.505618, 0.056879, 0.000061, 0.033362, 0.046974, 0.044968, 0.054144, 0.056393, 0.019263 
female, 17, indUnk, Scorpio, 521.919355, 3.931039, 1.035842, 0.062617, 0.001161, 0.026861, 0.031747, 0.050226, 0.045205, 0.062037, 0.015914 
male, 23, Sports-Recreation, Sagittarius, 571.943662, 4.100576, 7.549296, 0.045239, 0.000404, 0.032717, 0.048773, 0.026356, 0.060891, 0.031405, 0.015450 
female, 33, Internet, Gemini, 1227.171123, 4.003576, 2.609626, 0.051117, 0.000035, 0.028054, 0.041348, 0.035294, 0.050803, 0.045011, 0.016295 
female, 16, Student, Libra, 488.413500, 3.968058, 0.249441, 0.047951, 0.000683, 0.028695, 0.037331, 0.036474, 0.049200, 0.045532, 0.016772 
male, 17, Student, Pisces, 384.888889, 3.879059, 62.222222, 0.049272, 0.000000, 0.022396, 0.023516, 0.036954, 0.051512, 0.054871, 0.005599 
male, 36, Internet, Pisces, 580.300000, 4.301705, 2.700000, 0.038547, 0.000000, 0.024463, 0.043736, 0.012602, 0.056338, 0.020015, 0.017791 
male, 25, indUnk, Virgo, 1149.000000, 4.103571, 2.666667, 0.044048, 0.000000, 0.030952, 0.052381, 0.023810, 0.066667, 0.030952, 0.025000 
male, 36, Technology, Virgo, 1316.000000, 4.078512, 1.333333, 0.033058, 0.000000, 0.024793, 0.058884, 0.024793, 0.055785, 0.046488, 0.025826 
male, 23, indUnk, Aries, 466.238095, 4.262516, 0.000000, 0.047889, 0.000435, 0.023944, 0.057902, 0.017414, 0.043100, 0.020026, 0.022638 
male, 27, Law, Cancer, 779.850746, 4.146167, 5.000000, 0.044199, 0.000079, 0.025393, 0.061181, 0.029360, 0.050230, 0.035153, 0.018807 
female, 23, Arts, Aquarius, 858.815789, 4.230071, 6.210526, 0.044848, 0.000000, 0.030201, 0.046014, 0.029294, 0.058069, 0.034219, 0.018276 
female, 33, indUnk, Taurus, 2285.875000, 3.898316, 1.750000, 0.048391, 0.000000, 0.022170, 0.039437, 0.036879, 0.056491, 0.047111, 0.013856 
female, 24, indUnk, Sagittarius, 1098.079208, 4.173792, 4.920792, 0.049262, 0.000038, 0.031424, 0.040381, 0.034623, 0.048924, 0.041547, 0.017010 
female, 17, indUnk, Cancer, 363.968000, 4.195629, 1.536000, 0.050844, 0.004457, 0.027236, 0.030433, 0.033845, 0.048108, 0.041038, 0.015985 
female, 15, Student, Capricorn, 294.308000, 3.921806, 2.276000, 0.065508, 0.000373, 0.027397, 0.036299, 0.041256, 0.042322, 0.049837, 0.017217 
female, 25, indUnk, Cancer, 669.678571, 3.802677, 4.107143, 0.064287, 0.000203, 0.020077, 0.036707, 0.053742, 0.040560, 0.067126, 0.014804 
male, 26, indUnk, Aries, 3327.250000, 4.509997, 4.250000, 0.039648, 0.000339, 0.045747, 0.053880, 0.019315, 0.054219, 0.024060, 0.019654 
female, 25, Non-Profit, Gemini, 1104.428571, 4.340820, 0.571429, 0.018529, 0.000000, 0.030882, 0.059517, 0.008422, 0.046603, 0.013476, 0.020775 
male, 47, Technology, Pisces, 801.538462, 4.209534, 1.461538, 0.042284, 0.000135, 0.046054, 0.039995, 0.024239, 0.062214, 0.027740, 0.017910 
male, 17, indUnk, Scorpio, 993.191489, 3.886599, 0.000000, 0.072312, 0.000125, 0.026518, 0.034262, 0.060197, 0.050123, 0.066400, 0.017859 
female, 17, Student, Aquarius, 1106.636364, 3.976805, 3.181818, 0.056191, 0.000000, 0.031362, 0.035446, 0.039203, 0.048024, 0.047207, 0.029402 
male, 17, indUnk, Pisces, 1759.375000, 3.975989, 1.666667, 0.055838, 0.000282, 0.027024, 0.032863, 0.040960, 0.045292, 0.046704, 0.018550 
female, 27, indUnk, Gemini, 289.726402, 4.095251, 0.000000, 0.058319, 0.000193, 0.026704, 0.047316, 0.031383, 0.026007, 0.038073, 0.015044 
female, 23, Student, Cancer, 489.553888, 4.036343, 0.773533, 0.052653, 0.000472, 0.029268, 0.037580, 0.032091, 0.054250, 0.039807, 0.016006 
male, 17, indUnk, Virgo, 517.000000, 3.835312, 1.000000, 0.047478, 0.002967, 0.026706, 0.029674, 0.037092, 0.047478, 0.047478, 0.013353 
female, 23, indUnk, Taurus, 1166.733333, 3.924871, 87.600000, 0.072662, 0.000224, 0.029379, 0.030724, 0.057636, 0.050684, 0.069074, 0.017941 
male, 26, Technology, Aquarius, 528.428571, 3.821281, 2.285714, 0.077479, 0.000000, 0.023760, 0.048554, 0.040289, 0.050620, 0.048554, 0.011364 
male, 17, Student, Taurus, 613.260870, 3.929243, 6.847826, 0.042900, 0.002855, 0.020475, 0.031130, 0.032454, 0.038304, 0.041159, 0.013023 
male, 48, Military, Aquarius, 835.362745, 4.204639, 0.666667, 0.039724, 0.000247, 0.027930, 0.060597, 0.022058, 0.059314, 0.026795, 0.018653 
female, 16, indUnk, Libra, 694.730263, 4.160881, 0.000000, 0.047244, 0.000749, 0.037157, 0.034714, 0.029355, 0.048820, 0.037038, 0.020056 
male, 27, Law, Aries, 441.591033, 4.580523, 0.773098, 0.038475, 0.000042, 0.043887, 0.063435, 0.010006, 0.046353, 0.012487, 0.027510 
male, 25, indUnk, Gemini, 526.207002, 4.074365, 0.835616, 0.042509, 0.001084, 0.026352, 0.040612, 0.017489, 0.038007, 0.023064, 0.014201 
male, 16, indUnk, Sagittarius, 2061.861111, 4.165844, 1.861111, 0.046919, 0.000224, 0.034460, 0.040745, 0.031429, 0.057021, 0.037827, 0.025311 
male, 13, indUnk, Leo, 373.711806, 4.158450, 1.607639, 0.039641, 0.000116, 0.025887, 0.047987, 0.021018, 0.048103, 0.027007, 0.018700 
female, 17, indUnk, Gemini, 773.472906, 3.881898, 2.413793, 0.055429, 0.000173, 0.024204, 0.029544, 0.044279, 0.049174, 0.054712, 0.012213 
male, 24, Government, Libra, 464.804651, 4.210364, 1.865116, 0.053718, 0.000590, 0.033074, 0.047356, 0.027681, 0.054982, 0.033832, 0.020940 
female, 41, indUnk, Taurus, 1612.111111, 3.782325, 57.333333, 0.077164, 0.000782, 0.024505, 0.038582, 0.065954, 0.043796, 0.066736, 0.013295 
male, 45, indUnk, Aquarius, 1000.142857, 4.098946, 39.000000, 0.041862, 0.000293, 0.019614, 0.093970, 0.022834, 0.053279, 0.025761, 0.045375 
male, 27, Science, Libra, 260.562500, 4.526602, 4.437500, 0.060803, 0.001086, 0.032573, 0.046688, 0.021716, 0.051031, 0.023887, 0.019544 
male, 34, Internet, Cancer, 1606.264151, 4.757838, 1.113208, 0.036606, 0.000000, 0.044151, 0.067121, 0.005421, 0.043425, 0.005924, 0.024814 
male, 33, indUnk, Libra, 698.333333, 4.255247, 46.777778, 0.046716, 0.000000, 0.031144, 0.046039, 0.021666, 0.067028, 0.023697, 0.020311 
male, 17, Student, Pisces, 2634.611111, 4.415686, 10.462963, 0.045470, 0.000155, 0.044198, 0.049505, 0.027530, 0.048760, 0.033148, 0.023744 
female, 15, Arts, Scorpio, 782.600000, 4.248643, 1.200000, 0.030402, 0.001086, 0.045603, 0.036916, 0.016287, 0.059718, 0.022801, 0.018458 
female, 17, indUnk, Gemini, 821.750000, 4.023256, 0.500000, 0.050184, 0.000000, 0.025704, 0.040392, 0.037944, 0.034272, 0.041616, 0.015912 
male, 24, indUnk, Aquarius, 543.375000, 3.948229, 70.250000, 0.047230, 0.000908, 0.016349, 0.022707, 0.033606, 0.042688, 0.039055, 0.014532 
male, 23, Student, Gemini, 236.934426, 4.247759, 3.278689, 0.020720, 0.000588, 0.043938, 0.036444, 0.010874, 0.057164, 0.012785, 0.022043 
male, 26, Internet, Virgo, 849.937153, 4.859864, 0.024030, 0.040004, 0.000032, 0.038007, 0.053237, 0.003139, 0.047952, 0.003985, 0.025503 
male, 17, indUnk, Libra, 174.667488, 3.866052, 1.411330, 0.046448, 0.001308, 0.025623, 0.036526, 0.026550, 0.044377, 0.032165, 0.015537 
male, 25, indUnk, Virgo, 2336.411765, 4.128079, 6.901961, 0.047774, 0.000104, 0.027022, 0.045557, 0.030487, 0.046180, 0.038593, 0.020336 
male, 17, Student, Virgo, 798.392694, 4.178468, 2.634703, 0.040698, 0.002199, 0.028773, 0.044999, 0.026001, 0.046051, 0.031856, 0.016346 
female, 33, indUnk, Virgo, 2103.505051, 4.021765, 5.595960, 0.061703, 0.000212, 0.026999, 0.040015, 0.048571, 0.047509, 0.052008, 0.020626 
male, 25, Technology, Gemini, 193.970588, 4.119300, 0.705882, 0.041224, 0.000000, 0.024360, 0.055590, 0.021861, 0.049969, 0.023735, 0.014991 
female, 34, Publishing, Scorpio, 1457.208845, 4.295438, 1.371007, 0.044013, 0.000072, 0.034286, 0.050850, 0.023234, 0.056050, 0.028123, 0.021901 
